URL,名称,住所,最寄駅,施工年月,市区,lat,lng
https://db.self-in.com/mansion/752387.html,グランドメゾン照葉テラスパークカーサ０１,福岡県福岡市東区香椎照葉2丁目1番1号,"['香椎花園前駅より 徒歩19分', '「照葉小中学校前」バス停より 徒歩1分']",2017-1,福岡市東区,33.6655249,130.4233207
https://db.self-in.com/mansion/781297.html,サヴォイ箱崎邸園,福岡県福岡市東区箱崎1丁目38番18号,"['箱崎宮前駅より 徒歩3分', '箱崎駅より 徒歩5分', '網屋町バス停より 徒歩2分']",2016-9,福岡市東区,33.6172838,130.4219327
https://db.self-in.com/mansion/749698.html,照葉テラスフォレストカーサ,福岡県福岡市東区香椎照葉2丁目6番1号,"['西鉄バス「照葉小中学校前」バス停より 徒歩1分', '香椎花園前駅より 徒歩19分']",2016-6,福岡市東区,33.6667548,130.4236661
https://db.self-in.com/mansion/1393967.html,ウインステージ箱崎２,福岡県福岡市東区箱崎2丁目6番15号,"['箱崎宮前駅より 徒歩4分', '箱崎駅より 徒歩7分']",2016-3,福岡市東区,33.6179011,130.4217253
https://db.self-in.com/mansion/707902.html,サンリヤン香椎駅前３番館,福岡県福岡市東区香椎駅前2丁目15番32号,"['西鉄香椎駅より 徒歩3分', '香椎駅より 徒歩7分']",2016-2,福岡市東区,33.6604524,130.4397488
https://db.self-in.com/mansion/763364.html,アイタワー,福岡県福岡市東区香椎照葉3丁目2番7号,"['香椎花園前駅より 徒歩28分', 'アイランドシティ中央公園前バス停より 徒歩4分', '千早駅より バス11分']",2016-2,福岡市東区,33.6620675,130.4225575
https://db.self-in.com/mansion/1344826.html,グランフォーレプライム箱崎,福岡県福岡市東区箱崎1丁目1番8号,"['箱崎駅より 徒歩8分', '箱崎宮前駅より 徒歩7分', '馬出九大病院前駅より 徒歩11分']",2015-12,福岡市東区,33.6134306,130.4249098
https://db.self-in.com/mansion/709790.html,モントーレ香椎浜サーフタワーウエストウイング,福岡県福岡市東区香椎浜3丁目3番4号,"['西鉄バス「香椎浜北公園前」バス停より 徒歩2分', '西鉄香椎駅より 徒歩20分', '香椎駅より 徒歩23分', '千早駅より 徒歩22分']",2015-12,福岡市東区,33.6577864,130.4272388
https://db.self-in.com/mansion/708156.html,オーヴィジョン照葉アクアテラス,福岡県福岡市東区香椎照葉3丁目1番1号,"['JR西鉄バス「アイランドシティ中央公園前」バス停バス停より 徒歩4分', '千早駅より バス10分']",2015-10,福岡市東区,33.6612207,130.4227802
https://db.self-in.com/mansion/708252.html,パークナード香椎,福岡県福岡市東区香椎駅前3丁目16番33号,"['香椎駅より 徒歩11分', '西鉄香椎駅より 徒歩8分', '西鉄「福岡女子大前」バス停バス停より 徒歩1分']",2015-7,福岡市東区,33.6649182,130.4410362
